dataset,before_ece_mean,before_ece_std,before_mce_mean,before_mce_std,before_mca_mean,before_mca_std,after_ece_mean,after_ece_std,after_mce_mean,after_mce_std,after_mca_mean,after_mca_std,ratio_mean,ratio_std
Lipo,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.010619498556998565,0.004571634676420859,0.027922077922077918,0.0075766164565013085,0.010797420634920634,0.004593041318914544,0.8458990396701449,0.03453397413637671
ESOL,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.024033923303834824,0.00783101564229135,0.05394654509698758,0.013696876361229477,0.024326622418879056,0.007884057060586994,0.8441395010673498,0.0441872754003887
FreeSolv,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.03565617313026641,0.009380410036337071,0.08934552781703045,0.017509869143465664,0.03584676165803109,0.009433299466919624,0.5622481009090161,0.0670627000557955
QM7,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.028451092180960428,0.005589375500844976,0.11754810180871683,0.013216533909028069,0.02871397022938018,0.005632412093260507,0.27595991155952265,0.049404520418439825
QM9 $\mu$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.005239768851409007,0.002448150552975497,0.011901164909231293,0.0046139964352903875,0.005276012024796474,0.00248357522599688,0.847009322829255,0.022449388771388763
QM9 $\alpha$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.008118432249902123,0.0024983705346475287,0.023852404846131117,0.004393879200878108,0.008215699454776305,0.0025251699585249485,0.7212252638789673,0.014825795008088056
QM9 $\epsilon_{\mathrm{HOMO}}$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.00634789809364088,0.0014252044440059705,0.01631710336617355,0.003155296608555794,0.006411261109866307,0.0014499236399160302,0.772726431062192,0.020010947485035766
QM9 $\epsilon_{\mathrm{LUMO}}$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.007881953639011693,0.0023634160031791836,0.024539309745449184,0.006020372031457905,0.007952621555007842,0.0023746632170986194,0.7093684570927948,0.020096196278647668
QM9 $\Delta \epsilon$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.008252107111898745,0.0015205209659127656,0.02296859475326883,0.005175788038694428,0.008324488385988496,0.0015480021206999309,0.7340155794741344,0.020459290961171564
QM9 $\langle R^2 \rangle$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.009748261236609893,0.0024476348082947477,0.02510795836473638,0.005231074270447504,0.009863779968630967,0.0024597653426779763,0.7319492802779876,0.018549702471812108
QM9 ZPVE,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.010024109569818746,0.0018183168138438085,0.029556714353936017,0.003803054928539131,0.010141844051086712,0.0018391490799468323,0.6167303496853702,0.04791589062590395
QM9 $c_v$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.01040911014695466,0.002264177651910777,0.030420720763539563,0.005665481675499985,0.010534586227500187,0.002299254898808813,0.6699667665756452,0.023029908683713064
QM9 $U_0$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.013711136686153503,0.0145112308687256,0.02901352761312429,0.022627021782085754,0.013838679139592204,0.014677432404866185,0.12597743413910178,0.034862409152076244
QM9 $U$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.006041342734990518,0.0021998830226993005,0.015850019351027644,0.006982544076346079,0.006098069310628128,0.002238501488650703,0.11245392307413812,0.012663106300968518
QM9 $H$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.011632191283210774,0.00549502657210268,0.026258552362070177,0.008449568029463755,0.011754374859959667,0.005541316963992376,0.13385823359388488,0.02227171370054754
QM9 $G$,0.421368847561431,0.011154447244381019,0.7670883153742216,0.022307594513435662,0.4256204720292778,0.011261235054377688,0.006603258101969744,0.002497092051125419,0.01856425559652093,0.0052311741510093135,0.006669994024945851,0.0025122943703514665,0.11362477063321971,0.019532052483248408
