dataset,auco_mean,auco_std
Lipo,42.062346539569354,6.917109494995655
ESOL,37.46284028007881,10.957484494101838
FreeSolv,66.4061883201627,18.864958350515877
QM7,989.9682496474824,86.87910822497047
QM9 $\mu$,15.865527856428411,2.695138579164364
QM9 $\alpha$,12.4824787852315,2.224788350636465
QM9 $\epsilon_{\mathrm{HOMO}}$,5.130179973651586,1.1439316388041894
QM9 $\epsilon_{\mathrm{LUMO}}$,4.878495814350783,1.0947074108124513
QM9 $\Delta \epsilon$,6.8084696771390565,1.8379501760904737
QM9 $\langle R^2 \rangle$,684.8753147147956,145.02023133214652
QM9 ZPVE,0.19267779705384727,0.03861053170199466
QM9 $c_v$,4.623757784854981,1.3276993823179162
QM9 $U_0$,0.7236353258285309,0.09695455234313485
QM9 $U$,0.7273564037109882,0.09656494959111417
QM9 $H$,0.7150927714729688,0.09513953267370026
QM9 $G$,0.7877131339730685,0.161218173503257
